symbol,address,type,gauges,fees,bribes,algebra_pool
fBOMB/THE,0x18c12680aca1a2660adc88751b49bd156f435b3d,Volatile,0xd9694Bb4538596dF94Cc6A76145560097865Bba4,0x6964242C920689C1049EA3c29dF10fA99d6e3600,0x7179d4B36344410DFd00532600fa5089b90c4fEC,0
FITFI/BNB,0xd9f88f54a73b37463fb8f15ece98e0d1dcdcaab6,Volatile,0x786Af790d78cA636ff365a06b743F21df249FD37,0x880fAA55Ab800941613F68B38359Cfe66BF1cf94,0x7418c6B63382E4DdF5D46D8eD820D5C743701554,0
BTCB/GHNY,0x7b00238cda460127e4d2cd6ce59155aab2a5342d,Volatile,0x55272839d6D290088148144f637bF7cf530F91ed,0x5F05631f8B4c07566AEF613f575c1ec16d50AF09,0x83505a68036C7ed07fc613301206E01354Fb0a4f,0
THE/FLOKI,0x82a72d1eecb8fffabbd0073db95d06bac1577e09,Volatile,0x90891Ce21D73A46a76cC320A372CcaBad661763D,0xe79bD78d3eD454ef99441Fd67ddA2cd8F88AEb97,0x86E244F94091c730C96DB36c53DE28a42D9C50d2,0
ID/BNB,0x1663786974fecf742bdea32222c96bae58d0fc65,Volatile,0x4A79cc9DB438F8DfF9290ABBc2439BCF82Fd9292,0xE64cA21F6ee61eEeD3A2c64cc84875c8e730E43b,0xeF299f3eEA75408F0FA363062b8092bBAA42D396,0
USDC/USD+,0xbf9dc59a2370f1e11dc34c889c69d56bd7786db6,Stable,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
USD+/CUSD,0x150990b9630ffe2322999e86905536e2e7e8d93f,Stable,0x87644FC2d1Fcfae48b0B51282Ce8b5A4081ec68B,0x80fFbE849da43DBE54C715ecDD8c7B4E36c52B74,0x8077d5A4728f6CdEbEF8503c8F66C39633AF347D,0
BNB/multiBTC,0xe2256f71f3df4765a3602db66747ea87a71057b5,Volatile,0x7739f50dbF32735907f7ecd56E0492eeb6E83F44,0xE1134553FC6D3b215b27e805E6c8Ba864b3eeD9c,0xE6caD482d68c148df21E6D1b461505Ac3Aa6c471,0
TAROT(old)/BUSD,0x928fe97eee1f921d80f25dc2eea1df280704fd03,Volatile,0x77d7d83668b37C48d30077cC2385aCC36DeC8102,0xd4C1e7d1967D3aA3f204A67b95D8c7FA47CDCF60,0x86353d356BA8291abACDa96F3AE829750BE08367,0
GHNY/THE,0xf581b44ffd48eb84d984cababe7221f3fc85fbe0,Volatile,0xbA7a0B44beD33E52eab242342572FE451bED0072,0x0F1443308777789E5196B5FEb0B91B346091F131,0xDeF43Fa19bd82206CaC6c2236FfB84807207712E,0
